epoch,lr,t_l,v_3d,walking3d80,walking3d160,walking3d320,walking3d400,eating3d80,eating3d160,eating3d320,eating3d400,smoking3d80,smoking3d160,smoking3d320,smoking3d400,discussion3d80,discussion3d160,discussion3d320,discussion3d400,directions3d80,directions3d160,directions3d320,directions3d400,greeting3d80,greeting3d160,greeting3d320,greeting3d400,phoning3d80,phoning3d160,phoning3d320,phoning3d400,posing3d80,posing3d160,posing3d320,posing3d400,purchases3d80,purchases3d160,purchases3d320,purchases3d400,sitting3d80,sitting3d160,sitting3d320,sitting3d400,sittingdown3d80,sittingdown3d160,sittingdown3d320,sittingdown3d400,takingphoto3d80,takingphoto3d160,takingphoto3d320,takingphoto3d400,waiting3d80,waiting3d160,waiting3d320,waiting3d400,walkingdog3d80,walkingdog3d160,walkingdog3d320,walkingdog3d400,walkingtogether3d80,walkingtogether3d160,walkingtogether3d320,walkingtogether3d400
1,0.0005,23.2322632921,17.4074451115,13.2312402725,23.9303569794,42.7941436768,49.3479232788,9.8274269104,21.3217220306,43.738445282,52.3627166748,8.500333786,16.5663337708,30.3837814331,37.2359352112,12.9515132904,28.0368652344,49.6962852478,56.1380004883,14.0975246429,26.9776802063,55.9280853271,65.7713317871,15.9284677505,34.319316864,78.5579681396,94.1188964844,13.2669887543,23.427022934,47.1399345398,54.5732917786,11.9770669937,28.2860183716,73.0308990479,89.7496185303,21.6990661621,43.5437812805,65.6329269409,73.8955001831,13.2510175705,29.7262535095,59.3596954346,69.9744262695,12.9695587158,30.6875171661,61.0158195496,72.0155639648,8.9270887375,19.1344852448,47.0408172607,59.7808151245,12.3822698593,27.9673576355,69.7303771973,89.0359954834,37.9507369995,64.9529724121,109.9019622803,132.0587615967,11.2360153198,23.9812297821,46.2407455444,57.1733818054
2,0.00048,20.6704260807,16.5213677008,10.6980819702,19.7054691315,38.2177734375,44.1748580933,9.6284980774,21.3438835144,42.4309768677,50.6787719727,7.8312125206,15.5995559692,27.8920555115,33.4681243896,11.763584137,25.8392353058,46.0738677979,51.727355957,13.8786125183,26.3221359253,52.7132263184,63.8534660339,16.0435371399,32.8049087524,73.9539489746,89.6992645264,13.094291687,23.0161876678,45.7268676758,52.3203468323,10.881814003,26.5735664368,70.6478118896,86.9102249146,20.4802341461,41.3798370361,62.5424690247,71.2471313477,12.1069927216,27.1282844543,55.1565170288,65.9814224243,11.7732753754,29.8506736755,61.0169525146,71.7673034668,8.5795850754,18.9504051208,44.626449585,57.0504150391,10.9008579254,26.064617157,68.7132797241,88.093536377,34.9258384705,62.0851669312,108.7358093262,130.2806549072,9.8363876343,21.6308174133,41.4176177979,50.1937942505
3,0.00048,19.9599984987,16.5735049069,10.41929245,18.3061275482,33.7993621826,37.9638748169,9.749997139,20.8325824738,41.4327468872,49.1486663818,7.7928361893,15.0277891159,27.0221176147,32.7034034729,12.0537014008,26.3681278229,47.8690948486,54.1308097839,13.7478504181,27.1308231354,55.4186668396,64.9875183105,15.7195167542,32.1117401123,74.4657745361,89.9729003906,13.5367698669,23.0963592529,43.258480072,49.2762298584,10.7482357025,27.062461853,71.3070755005,87.1867980957,20.332151413,41.1206092834,67.0739059448,77.6771240234,12.259510994,27.504573822,55.1273078918,65.4600830078,11.8926334381,30.7448768616,61.385383606,71.8261489868,8.7025966644,18.857925415,46.4898490906,58.7392578125,10.854259491,25.2706642151,64.8984527588,82.6390914917,34.6916503906,61.8417282104,109.3012313843,129.1943359375,10.0166568756,21.9323291779,41.765460968,51.0006713867
4,0.0004608,19.5188468308,16.2372771538,10.8320846558,19.0692653656,35.4335365295,40.8481941223,8.8815193176,19.2241172791,39.344997406,48.1549415588,7.8240175247,15.2873363495,27.0306339264,32.2968025208,11.6127586365,25.2378349304,44.6963005066,50.8110771179,13.8538169861,25.687915802,50.2500686646,60.9891815186,16.2033233643,32.8746948242,73.8048782349,88.898399353,12.8465166092,22.7791099548,43.4151153564,49.1944656372,10.8557529449,26.8416938782,69.6009750366,85.3702392578,20.5872974396,40.310344696,62.0113945007,70.8250961304,11.9864177704,27.4976825714,55.534526825,66.0192260742,11.89270401,29.3989124298,57.9735031128,67.6413726807,8.3752717972,18.2639198303,44.8326034546,57.1609153748,10.5113391876,24.3375091553,62.5752410889,80.6826477051,35.2221221924,63.1682243347,108.3899765015,127.3640594482,9.7225608826,19.9425449371,36.5515670776,45.279258728
5,0.0004608,19.1999023095,15.8588181856,10.4914073944,17.8312301636,31.7646942139,35.9936523438,8.4785938263,19.2122650146,39.016242981,47.5666236877,7.8964633942,15.3758354187,27.1487827301,31.892364502,11.1193399429,23.9816074371,42.3283081055,48.0988883972,13.6032104492,25.8873214722,49.780090332,60.2933921814,15.9231948853,32.2295074463,72.4781799316,87.6543273926,11.9557514191,21.1395263672,41.5156326294,47.0318374634,10.0163421631,25.5199584961,68.856628418,85.0974884033,20.2917098999,40.1217956543,61.9118156433,70.7772369385,11.5276679993,26.2422618866,54.0636978149,64.4951629639,11.3373413086,27.1784267426,56.2431335449,66.8672943115,8.2319822311,18.205291748,44.0169906616,56.2982254028,10.612455368,24.6362133026,63.9708824158,81.3726806641,34.6233901978,61.1973724365,103.8281097412,123.9252929688,9.3047657013,19.4204082489,36.4393577576,45.7307662964
6,0.000442368,18.9409075263,15.7806951902,9.8234949112,17.5861167908,33.7639770508,38.9891052246,8.6307792664,19.2306632996,39.6694335938,47.9346427917,7.725332737,14.7552852631,25.4504051208,30.3748931885,11.1533794403,24.5614547729,44.4271469116,50.5996551514,13.0969276428,25.3407516479,50.4384880066,60.0871734619,15.242275238,30.990732193,70.9804458618,85.7478027344,12.3870048523,21.8400154114,41.4835586548,46.9001464844,9.9388751984,24.9710960388,67.346496582,82.9860458374,20.1072978973,39.8026542664,62.8653907776,72.4645080566,11.594452858,26.0139884949,53.2729415894,63.7947692871,11.3282995224,27.2938690186,55.4350891113,65.6821212769,7.8005175591,17.532989502,43.9219207764,55.9515113831,10.0748023987,23.22590065,62.8935165405,81.4436569214,33.4204101563,60.1768341064,106.7442474365,127.6381378174,9.2016220093,19.36759758,38.9919128418,47.9795303345
7,0.000442368,18.743965586,15.5569174155,10.5837564468,19.0630912781,33.3319015503,37.1680183411,8.5920801163,18.6937217712,38.2792854309,46.5449180603,7.904610157,15.2534284592,26.6376495361,31.7699661255,11.1742067337,24.5114326477,42.9737548828,47.9741516113,13.9165439606,26.9508152008,52.2961235046,63.0742645264,15.4914779663,30.698261261,69.3435974121,84.5251312256,11.9104232788,20.6625766754,38.9751014709,44.5397529602,10.1334819794,25.1699619293,67.2434921265,83.0293502808,19.836019516,38.307182312,59.4978179932,67.7068252563,11.2874078751,26.1154403687,53.718547821,64.6274414063,11.212802887,28.127576828,56.7289390564,67.2246704102,8.0323543549,17.0524635315,42.5946502686,54.5752944946,10.1690530777,22.9953384399,62.189125061,78.8418121338,34.0500717163,61.016582489,105.2172698975,124.1945419312,9.399315834,19.4619560242,37.4303741455,46.1133003235
8,0.0004246733,18.5592477937,15.506522972,10.2687492371,18.1419506073,32.0234832764,36.9011955261,8.1832637787,18.4206085205,38.3719024658,46.4196014404,7.9889769554,14.5652532578,24.837015152,29.7775325775,11.6009578705,25.2747077942,44.238319397,48.9208602905,13.1643047333,25.2659702301,49.7345809937,59.5828475952,15.3623600006,30.9375247955,72.2462234497,89.187286377,11.9801998138,20.2651100159,38.6369094849,44.44871521,9.8274612427,24.3706188202,66.1521682739,81.8793487549,19.628452301,38.559715271,61.3519706726,68.9946594238,11.2713479996,25.8684482574,52.9071960449,63.6525726318,10.7542982101,27.4529151917,55.8384094238,66.984664917,7.5421204567,16.9455356598,42.9240264893,55.1977157593,9.829208374,22.796207428,60.5908508301,78.4249267578,33.3050460815,60.2238388062,103.9917602539,123.6876907349,9.7373962402,19.493144989,36.6412582397,45.2054443359
9,0.0004246733,18.4179983225,15.3412986285,10.1177148819,16.8924541473,30.8802757263,34.670715332,8.125995636,18.1913528442,38.809047699,47.3341293335,7.4280805588,14.0479822159,25.2864646912,30.793466568,10.3855457306,22.9706172943,41.0246009827,46.3086700439,12.9331741333,24.4969673157,48.9200439453,59.0756149292,15.5519104004,31.6797428131,72.5564422607,88.2285919189,11.7742118835,20.4778785706,39.1180648804,44.7422027588,9.9791698456,25.3834571838,67.8772888184,83.6621017456,19.9352645874,38.6373214722,58.8915481567,67.4024810791,11.400929451,26.456029892,53.2381095886,63.5183563232,11.2776985168,27.7744121552,56.9865226746,67.0581970215,7.3298406601,16.9383201599,43.1480255127,54.9127731323,9.9182662964,23.1259021759,61.4138946533,78.6911468506,32.1682662964,59.9444046021,105.7646636963,124.8027954102,9.0433187485,18.8851737976,36.3952713013,45.2430496216
10,0.0004076863,18.286236957,15.3627769652,10.2048187256,17.5798530579,30.4211483002,33.8451271057,8.4178714752,18.5010128021,38.5140075684,46.8327178955,7.6487531662,14.2783069611,25.1116867065,30.7391490936,10.932767868,24.0681343079,42.1812515259,47.1457748413,13.0395898819,25.6075286865,51.6621704102,61.6480789185,15.7986869812,30.9696540833,70.6850128174,86.9983673096,11.9785604477,20.9484672546,39.1467857361,44.3997306824,10.2264156342,25.9419803619,68.0697097778,84.0331344604,19.5245513916,37.8414001465,58.6419906616,66.7943267822,11.0102615356,25.0367622375,50.4289932251,61.1173553467,11.0155715942,27.5388908386,56.8488311768,67.7752838135,7.6071100235,16.789806366,42.3162231445,54.271938324,10.2197542191,23.3717193604,59.5637893677,77.1884689331,32.8875465393,59.9857330322,103.7240142822,122.5575408936,9.6073360443,19.9839687347,37.8118476868,46.8643112183
